ID,Frame index,Groups,Donor Photons,Acceptor Photons,FRET efficiency,X (nm),Y (nm)
62,42,,454.532,0,0,22771.9,14214.2
62,43,,368.796,154.493,0.295235,22794.8,14211.3
62,44,,0,0,0,0,0
62,45,,344.064,87.9248,0.203535,22782.2,14226.2
62,46,,360.715,76.6463,0.175247,22801.2,14197.8
62,47,,254.876,115.803,0.312409,22779.5,14227.1
62,48,,0,0,0,0,0
62,49,,0,0,0,0,0
62,50,,358.011,48.0026,0.118229,22793.2,14205.3
62,51,,0,0,0,0,0
62,52,,256.569,29.7708,0.10397,22790.3,14234.2
62,53,,314.344,72.547,0.187513,22757.5,14231.6
62,54,,410.614,53.2655,0.114826,22794.8,14205.3
62,55,,375.462,7.98025,0.0208121,22818.4,14200.6
62,56,,236.302,27.1243,0.102967,22788.1,14179.6
62,57,,286.744,44.0543,0.133176,22805.7,14213.5
62,58,,427.596,26.7091,0.058791,22806.3,14208.9
62,59,,543.151,115.564,0.175439,22783.7,14205.7
62,60,,389.181,106.868,0.215439,22808.3,14195.8
62,61,,0,0,0,0,0
62,62,,453.527,51.3379,0.101686,22803.7,14202.7
62,63,,286.418,46.4165,0.139458,22819.3,14222.7
62,64,,321.384,47.3307,0.128367,22807.4,14211.8
62,65,,333.003,84.9862,0.203321,22774.4,14200.1
62,66,,437.484,103.159,0.190808,22790.9,14230.6
62,67,,313.043,80.9045,0.205369,22794.9,14199.5
62,68,,274.242,78.7853,0.223171,22784.2,14233.3
62,69,,345.901,146.061,0.296895,22799.9,14212.6
62,70,,340.073,67.6043,0.165828,22819.7,14214.4
62,71,,333.205,38.7443,0.104165,22795.4,14185.9
62,72,,358.3,129.304,0.265182,22803.3,14188.9
62,73,,383.311,80.9143,0.1743,22791.9,14202.7
62,74,,328.475,68.002,0.171516,22774.9,14233.7
62,75,,292.703,121.361,0.293098,22805.5,14220.1
62,76,,0,0,0,0,0
62,77,,291.323,44.3429,0.132104,22791.9,14242
62,78,,265.079,92.1935,0.258048,22824.3,14189.1
62,79,,365.062,24.0808,0.0618818,22777.1,14217.8
62,80,,375.416,96.7488,0.204905,22777.5,14228.1
62,81,,317.676,45.541,0.125382,22799,14199.2
62,82,,369.824,66.298,0.152017,22805.5,14240
62,83,,407.902,64.4917,0.136521,22794.5,14217.6
62,84,,391.555,47.1875,0.107552,22797.8,14211.4
62,85,,299.37,66.4488,0.181644,22816.7,14212.5
62,86,,279.246,18.916,0.0634421,22818,14194.7
62,87,,340.458,36.8817,0.0977414,22770.4,14200.6
62,88,,0,0,0,0,0
62,89,,262.385,91.9915,0.259587,22821.1,14175.1
62,90,,320.236,86.7631,0.213177,22828.6,14200.9
62,91,,294.133,63.8131,0.178276,22768.6,14226.6
62,92,,323.761,48.0788,0.1293,22761.9,14185.8
62,93,,0,0,0,0,0
62,94,,0,0,0,0,0
62,95,,0,0,0,0,0
62,96,,307.928,71.3149,0.188045,22814.9,14216.8
62,97,,0,0,0,0,0
62,98,,0,0,0,0,0
62,99,,275.484,31.7527,0.103349,22788,14186.6
62,100,,0,0,0,0,0
62,101,,0,0,0,0,0
62,102,,0,0,0,0,0
62,103,,285.798,69.2489,0.195041,22827.7,14233.7
62,104,,0,0,0,0,0
62,105,,327.513,61.1068,0.15724,22814,14170.3
62,106,,403.617,118.29,0.22665,22791.8,14234.6
62,107,,363.991,125.998,0.257144,22817.5,14208.7
62,108,,637.979,120.597,0.158978,22791.1,14200
62,109,,304.45,11.8274,0.0373955,22818.4,14242.3
62,110,,420.672,47.4258,0.101316,22770.4,14196.5
62,111,,0,0,0,0,0
62,112,,457.589,139.393,0.233496,22873.9,14532.4
62,113,,879.482,128.564,0.127538,22884.5,14611.4
62,114,,1508.03,84.1877,0.0528744,22906.4,14633.6
62,115,,1953.04,140.78,0.067236,22899.2,14626.4
62,116,,1855.01,149.715,0.0746812,22896.7,14625.4
62,117,,1803.02,159.837,0.0814307,22886.8,14625.3
62,118,,1387.13,148.13,0.0964853,22885,14629.1
62,119,,703.892,102.709,0.127335,22889.4,14575.3
62,120,,404.339,78.2671,0.162176,22791.7,14194.7
62,121,,307.014,108.154,0.260506,22764.4,14205.2
62,122,,305.925,158.166,0.340807,22815.4,14224.8
62,123,,251.043,54.4555,0.178251,22833.6,14252.7
62,124,,379.197,96.1933,0.202346,22741.7,14226.1
62,125,,0,0,0,0,0
62,126,,275.868,51.9108,0.158371,22807.3,14259.9
62,127,,351.335,0,0,22781.8,14265
62,128,,275.694,83.2069,0.231838,22703.4,14190.9
62,129,,0,0,0,0,0
62,130,,329.888,134.813,0.290107,22824.9,14196.6
62,131,,391.766,51.733,0.116647,22833.5,14204.4
62,132,,512.924,61.9501,0.107763,22813.4,14215.4
62,133,,544.543,96.7424,0.150857,22806.3,14209.7
62,134,,311.547,66.052,0.174926,22757.1,14201.7
73,0,,0,92.1233,1,370.878,18158.4
73,1,,0,89.0502,1,362.98,18146.8
73,2,,0,20.2842,1,391.989,18187.5
73,3,,0,49.3237,1,364.411,18168.4
73,4,,0,112.354,1,365.505,18185
73,5,,0,151.684,1,386.326,18192
73,6,,0,64.7474,1,362.252,18163.4
73,7,,0,56.4539,1,397.289,18163.8
73,8,,0,155.111,1,386.978,18174.6
73,9,,0,69.0972,1,394.362,18162.7
73,10,,0,106.328,1,396.502,18199.9
73,11,,0,169.169,1,393.106,18140
73,12,,0,70.1662,1,370.758,18143.4
73,13,,0,84.4899,1,403.13,18172.6
73,14,,0,94.4238,1,382.566,18158.8
73,15,,0,116.329,1,391.562,18125
73,16,,0,148.298,1,376.418,18163
73,17,,0,151.461,1,404.735,18181.9
73,18,,0,35.8283,1,357.47,18149.5
73,19,,0,128.788,1,388.839,18163.9
73,20,,0,70.3867,1,365.633,18156.8
73,21,,0,30.5425,1,415.204,18176
73,22,,0,0,0,0,0
73,23,,0,85.024,1,373.61,18166.3
73,24,,0,42.4066,1,373.67,18197.4
73,25,,0,59.3848,1,363.415,18164.1
73,26,,0,27.9105,1,308.255,18164.7
73,27,,0,0,0,0,0
73,28,,0,64.2554,1,397.043,18161.4
73,29,,0,74.7787,1,360.183,18132.1
73,30,,0,88.1406,1,412.902,18162.8
73,31,,0,90.3344,1,366.984,18156.6
73,32,,0,108.399,1,403.213,18186.4
73,33,,0,72.1342,1,362.324,18151.2
73,34,,0,50.0842,1,373.031,18159.3
73,35,,0,72.7953,1,391.893,18174.1
73,36,,0,18.9464,1,359.598,18149.3
73,37,,0,58.805,1,391.273,18151.7
73,38,,0,89.5204,1,396.956,18166.1
73,39,,0,65.5196,1,395.029,18140.6
73,40,,0,88.9674,1,388.48,18162.3
73,41,,0,90.1031,1,357.229,18161.5
73,42,,0,0,0,0,0
73,43,,357.157,13.5532,0.03656,470.152,18053.8
73,44,,627.967,71.2345,0.10188,483.664,18032.4
73,45,,657.456,103.022,0.13547,482.643,18036.3
73,46,,623.451,79.416,0.112989,498.791,18058.5
73,47,,783.923,108.085,0.121171,501.427,18064
73,48,,851.702,35.6494,0.0401751,509.654,18029.8
73,49,,436.111,43.1045,0.089948,503.413,18066.2
73,50,,502.321,52.8091,0.0951294,523.419,18050.6
73,51,,799.45,133.429,0.14303,520.804,18036.8
73,52,,565.778,54.8445,0.0883702,502.034,18036.2
73,53,,433.578,40.3838,0.0852049,529.89,18020.8
73,54,,460.928,86.6853,0.158297,492.114,18058.3
73,55,,568.25,48.2893,0.078323,517.372,18011.7
73,56,,350.421,132.827,0.274862,475.615,18034.5
73,57,,412.427,62.7074,0.131978,474.018,18048.1
73,58,,339.975,36.8177,0.0977134,468.652,18038.9
73,59,,575.07,97.2196,0.14461,512.227,18030.1
73,60,,468.824,32.1342,0.0641454,500.868,18026.8
73,61,,388.141,67.6809,0.148481,505.093,18053
73,62,,377.888,45.5508,0.107574,514.863,18038.8
73,63,,324.604,62.2261,0.160862,498.347,18090.3
73,64,,317.534,18.6079,0.0553572,503.659,18040.9
73,65,,441.835,6.49204,0.0144806,490.842,18058.6
